亜急性細菌性心内膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性細菌性心内膜炎,アキュウセイサイキンセイシンナイマクエン,アキュウセイサイキンセイシンナイマクエン,0/19,*,あ[きユうせいさいきんせいしんないまくえん
亜急性細菌性心膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性細菌性心膜炎,アキュウセイサイキンセイシンマクエン,アキュウセイサイキンセイシンマクエン,15/17,*,あ[きユうせいさいきんせいしんまく]えん
亜急性錯乱状態,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性錯乱状態,アキュウセイサクランジョウタイ,アキュウセイサクランジョウタイ,10/13,*,あ[きユうせいさくらんじヨう]たい
亜急性出血性白質脳炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性出血性白質脳炎,アキュウセイシュッケツセイハクシツノウエン,アキュウセイシュッケツセイハクシツノウエン,17/19,*,あ[きユうせいしユっけつせいはくしつのう]えん
亜急性漿液,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性漿液,アキュウセイショウエキ,アキュウセイショウエキ,6/9,*,あ[きユうせいしヨう]えき
亜急性漿液ムチン性中耳炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性漿液ムチン性中耳炎,アキュウセイショウエキムチンセイチュウジエン,アキュウセイショウエキムチンセイチュウジエン,0/19,*,あ[きユうせいしヨうえきむちんせいちユうじえん
亜急性小脳変性症,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性小脳変性症,アキュウセイショウノウヘンセイショウ,アキュウセイショウノウヘンセイショウ,14/15,*,あ[きユうせいしヨうのうへんせいし]ヨう
亜急性腎炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性腎炎,アキュウセイジンエン,アキュウセイジンエン,7/9,*,あ[きユうせいじん]えん
亜急性心内膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性心内膜炎,アキュウセイシンナイマクエン,アキュウセイシンナイマクエン,11/13,*,あ[きユうせいしんないまく]えん
亜急性膵炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性膵炎,アキュウセイスイエン,アキュウセイスイエン,7/9,*,あ[きユうせいすい]えん
亜急性脊髄連合変性症,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性脊髄連合変性症,アキュウセイセキズイセイレンゴウヘンセイショウ,アキュウセイセキズイセイレンゴウヘンセイショウ,20/21,*,あ[きユうせいせきずいせいれんごうへんせいし]ヨう
亜急性前部,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性前部,アキュウセイゼンブ,アキュウセイゼンブ,6/8,*,あ[きユうせいぜ]んぶ
亜急性前部ぶどう膜炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性前部ぶどう膜炎,アキュウセイゼンブブドウマクエン,アキュウセイゼンブブドウマクエン,13/15,*,あ[きユうせいぜんぶぶどうまく]えん
亜急性虫垂炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性虫垂炎,アキュウセイチュウスイエン,アキュウセイチュウスイエン,9/11,*,あ[きユうせいちユうすい]えん
亜急性脳症候群,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性脳症候群,アキュウセイノウショウコウグン,アキュウセイノウショウコウグン,11/13,*,あ[きユうせいのうしヨうこう]ぐん
亜急性皮膚,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性皮膚,アキュウセイヒフ,アキュウセイヒフ,5/7,*,あ[きユうせい]ひふ
亜急性ムコイド中耳炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性ムコイド中耳炎,アキュウセイムコイドチュウジエン,アキュウセイムコイドチュウジエン,12/14,*,あ[きユうせいむこいどちユうじ]えん
亜急性毛様体炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性毛様体炎,アキュウセイモウヨウタイエン,アキュウセイモウヨウタイエン,11/13,*,あ[きユうせいもうようたい]えん
亜急性痒疹,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性痒疹,アキュウセイヨウシン,アキュウセイヨウシン,7/9,*,あ[きユうせいよう]しん
亜急性リンパ管炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性リンパ管炎,アキュウセイリンパカンエン,アキュウセイリンパカンエン,10/12,*,あ[きユうせいりんぱかん]えん
亜急性涙,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性涙,アキュウセイルイ,アキュウセイルイ,5/7,*,あ[きユうせい]るい
亜急性涙嚢炎,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性涙嚢炎,アキュウセイルイノウエン,アキュウセイルイノウエン,9/11,*,あ[きユうせいるいのう]えん
亜急性類鼻疽,1348,1348,8000,名詞,固有名詞,一般,*,*,*,亜急性類鼻疽,アキュウセイルイビソ,アキュウセイルイビソ,7/9,*,あ[きユうせいるい]びそ
